┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Name                                                    ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test     ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr  ┃ MaxSpd  ┃ Stages                      ┃
│ WCP DS Gearbox                                          │ 6        │ 4    │ 48        │ 0.0083   │ 1.1   │ 132.0        │ 8.7       │ 256        │ 127       │ 12.85   │ (13, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 48        │ 0.0083   │ 1.1   │ 132.0        │ 8.7       │ 258        │ 129       │ 12.95   │ (11, 50, 30, 44)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 49        │ 0.0083   │ 1.1   │ 132.0        │ 8.65      │ 237        │ 118       │ 11.9    │ (12, 42, 24, 50)            │
│ EVO Slim                                                │ 6        │ 6    │ 49        │ 0.0083   │ 1.1   │ 132.0        │ 8.65      │ 238        │ 110       │ 11.95   │ (15, 85, 24, 46)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 49        │ 0.0083   │ 1.1   │ 132.0        │ 8.65      │ 246        │ 123       │ 12.4    │ (12, 84)                    │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 49        │ 0.0083   │ 1.1   │ 132.0        │ 8.65      │ 249        │ 115       │ 12.5    │ (13, 50, 20, 54)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 49        │ 0.0083   │ 1.1   │ 132.0        │ 8.65      │ 256        │ 127       │ 12.85   │ (13, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 49        │ 0.0083   │ 1.1   │ 132.0        │ 8.65      │ 258        │ 129       │ 12.95   │ (11, 50, 30, 44)            │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 49        │ 0.0083   │ 1.1   │ 132.0        │ 8.65      │ 267        │ 123       │ 13.4    │ (14, 50, 20, 54)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 50        │ 0.0083   │ 1.1   │ 132.0        │ 8.55      │ 237        │ 118       │ 11.9    │ (12, 42, 24, 50)            │
│ EVO Slim                                                │ 6        │ 6    │ 50        │ 0.0083   │ 1.1   │ 132.0        │ 8.55      │ 238        │ 110       │ 12.0    │ (15, 85, 24, 46)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 50        │ 0.0083   │ 1.1   │ 132.0        │ 8.55      │ 246        │ 123       │ 12.4    │ (12, 84)                    │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 50        │ 0.0083   │ 1.1   │ 132.0        │ 8.55      │ 249        │ 115       │ 12.5    │ (13, 50, 20, 54)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 50        │ 0.0083   │ 1.1   │ 132.0        │ 8.55      │ 256        │ 127       │ 12.85   │ (13, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 50        │ 0.0083   │ 1.1   │ 132.0        │ 8.55      │ 258        │ 129       │ 12.95   │ (11, 50, 30, 44)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 51        │ 0.0083   │ 1.1   │ 132.0        │ 8.45      │ 237        │ 118       │ 11.9    │ (12, 42, 24, 50)            │
│ EVO Slim                                                │ 6        │ 6    │ 51        │ 0.0083   │ 1.1   │ 132.0        │ 8.45      │ 238        │ 110       │ 12.0    │ (15, 85, 24, 46)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 51        │ 0.0083   │ 1.1   │ 132.0        │ 8.45      │ 246        │ 123       │ 12.4    │ (12, 84)                    │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 51        │ 0.0083   │ 1.1   │ 132.0        │ 8.45      │ 249        │ 115       │ 12.5    │ (13, 50, 20, 54)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 51        │ 0.0083   │ 1.1   │ 132.0        │ 8.45      │ 256        │ 127       │ 12.85   │ (13, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 51        │ 0.0083   │ 1.1   │ 132.0        │ 8.45      │ 258        │ 129       │ 12.95   │ (11, 50, 30, 44)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 52        │ 0.0083   │ 1.1   │ 132.0        │ 8.4       │ 237        │ 118       │ 11.9    │ (12, 42, 24, 50)            │
│ EVO Slim                                                │ 6        │ 6    │ 52        │ 0.0083   │ 1.1   │ 132.0        │ 8.4       │ 238        │ 110       │ 12.0    │ (15, 85, 24, 46)            │
│ VEX Single Speed, Single Reduction Gearbox              │ 6        │ 4    │ 52        │ 0.0083   │ 1.1   │ 132.0        │ 8.4       │ 246        │ 123       │ 12.4    │ (12, 84)                    │
│ WCP SS Gearbox                                          │ 6        │ 6    │ 52        │ 0.0083   │ 1.1   │ 132.0        │ 8.4       │ 249        │ 115       │ 12.5    │ (13, 50, 20, 54)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 52        │ 0.0083   │ 1.1   │ 132.0        │ 8.4       │ 256        │ 127       │ 12.85   │ (13, 42, 24, 50)            │
│ WCP SS Gearbox                                          │ 6        │ 4    │ 52        │ 0.0083   │ 1.1   │ 132.0        │ 8.4       │ 258        │ 129       │ 12.95   │ (11, 50, 30, 44)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 53        │ 0.0083   │ 1.1   │ 132.0        │ 8.35      │ 237        │ 118       │ 11.9    │ (12, 42, 24, 50)            │
│ WCP DS Gearbox                                          │ 6        │ 4    │ 54        │ 0.0083   │ 1.1   │ 132.0        │ 8.35      │ 237        │ 118       │ 11.9    │ (12, 42, 24, 50)            │
│ EVO Slim                                                │ 6        │ 6    │ 54        │ 0.0083   │ 1.1   │ 132.0        │ 8.3       │ 238        │ 110       │ 12.0    │ (15, 85, 24, 46)            │
│ EVO Slim                                                │ 6        │ 6    │ 53        │ 0.0083   │ 1.1   │ 132.0        │ 8.3       │ 238        │ 110       │ 12.0    │ (15, 85, 24, 46)            │
