┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Name                                                    ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test     ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr  ┃ MaxSpd  ┃ Stages                      ┃
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.0332   │ 4.2   │ 126.4        │ 9.05      │ 251        │ 106       │ 10.25   │ (8, 62, 16, 40, 28, 38)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 33        │ 0.0332   │ 4.25  │ 128.19       │ 9.05      │ 251        │ 101       │ 10.1    │ (10, 60, 16, 40, 18, 48)    │
│ VEX 2 CIM Ball Shifter                                  │ 4        │ 4    │ 33        │ 0.0332   │ 4.25  │ 128.19       │ 9.05      │ 251        │ 104       │ 10.1    │ (12, 40, 24, 60, 20, 64)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.0332   │ 4.35  │ 131.11       │ 9.05      │ 251        │ 102       │ 9.9     │ (11, 60, 16, 40, 22, 44)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0333   │ 3.75  │ 112.64       │ 8.95      │ 258        │ 121       │ 11.85   │ (11, 60, 24, 32, 16, 50)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0333   │ 3.8   │ 114.14       │ 8.95      │ 258        │ 120       │ 11.7    │ (11, 60, 18, 38, 22, 44)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0333   │ 3.8   │ 113.99       │ 8.95      │ 258        │ 117       │ 11.7    │ (10, 60, 16, 40, 20, 46)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0333   │ 3.85  │ 115.59       │ 8.95      │ 258        │ 118       │ 11.55   │ (14, 58, 18, 38, 18, 48)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0333   │ 3.85  │ 115.5        │ 8.95      │ 258        │ 118       │ 11.55   │ (14, 58, 20, 36, 16, 50)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.0333   │ 4.2   │ 126.19       │ 9.05      │ 251        │ 106       │ 10.25   │ (10, 60, 16, 40, 24, 42)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.0333   │ 4.4   │ 132.0        │ 9.05      │ 246        │ 100       │ 9.65    │ (8, 62, 26, 30, 16, 50)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.0333   │ 4.4   │ 132.0        │ 9.05      │ 247        │ 100       │ 9.65    │ (8, 62, 20, 36, 22, 44)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 33        │ 0.0333   │ 4.4   │ 132.0        │ 9.05      │ 249        │ 101       │ 9.75    │ (14, 58, 16, 40, 18, 48)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0333   │ 4.4   │ 132.0        │ 8.95      │ 246        │ 100       │ 9.65    │ (8, 62, 26, 30, 16, 50)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0333   │ 4.4   │ 132.0        │ 8.95      │ 247        │ 100       │ 9.65    │ (8, 62, 20, 36, 22, 44)     │
│ EVO Slim                                                │ 4        │ 4    │ 34        │ 0.0334   │ 3.75  │ 112.34       │ 8.95      │ 258        │ 122       │ 11.9    │ (15, 85, 14, 56)            │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0334   │ 3.8   │ 113.81       │ 8.95      │ 258        │ 117       │ 11.75   │ (9, 62, 16, 40, 22, 44)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 4    │ 34        │ 0.0334   │ 3.85  │ 115.23       │ 8.95      │ 258        │ 119       │ 11.6    │ (8, 62, 16, 40, 30, 36)     │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 34        │ 0.0334   │ 3.85  │ 115.17       │ 8.95      │ 258        │ 115       │ 11.6    │ (13, 58, 16, 40, 16, 50)    │
│ WCP Flipped Gearbox (Single Speed, 3 Stages)            │ 4        │ 6    │ 33        │ 0.0334   │ 4.15  │ 124.29       │ 9.05      │ 251        │ 104       │ 10.45   │ (9, 62, 18, 38, 18, 48)     │
