┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━┳━━━━━━━━━━━┳━━━━━━━┳━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━┳━
┃ Name                                                     ┃ Motors   ┃ Whl  ┃ CurrLim   ┃ Test  ┃ TTG   ┃ TractForce   ┃ MinVolt   ┃ PushCurr   ┃ TurnCurr   ┃ 
│ WCP SS Gearbox                                           │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 92.04        │ 8.25      │ 300        │ 207        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 91.51        │ 8.25      │ 300        │ 208        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 4    │ 54        │ 0.03  │ 2.8   │ 91.16        │ 8.25      │ 300        │ 232        │ 
│ WCP DS Gearbox                                           │ 6        │ 4    │ 54        │ 0.03  │ 2.8   │ 91.12        │ 8.25      │ 300        │ 232        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 90.37        │ 8.25      │ 300        │ 211        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 89.56        │ 8.25      │ 300        │ 212        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 88.01        │ 8.25      │ 300        │ 216        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 87.99        │ 8.25      │ 300        │ 216        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 87.26        │ 8.25      │ 300        │ 218        │ 
│ WCP SS Gearbox                                           │ 6        │ 4    │ 54        │ 0.03  │ 2.8   │ 87.01        │ 8.25      │ 300        │ 242        │ 
│ WCP DS Gearbox                                           │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 86.29        │ 8.25      │ 300        │ 220        │ 
│ VEX 3 CIM Ball Shifter                                   │ 6        │ 4    │ 54        │ 0.03  │ 2.8   │ 86.29        │ 8.25      │ 300        │ 244        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 85.29        │ 8.25      │ 300        │ 222        │ 
│ WCP DS Gearbox                                           │ 6        │ 4    │ 54        │ 0.03  │ 2.8   │ 85.27        │ 8.25      │ 300        │ 247        │ 
│ WCP Flipped Gearbox (Single Speed, 3 Stages)             │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 84.63        │ 8.25      │ 300        │ 224        │ 
│ VEX 3 CIM Ball Shifter                                   │ 6        │ 6    │ 54        │ 0.03  │ 2.8   │ 84.59        │ 8.25      │ 300        │ 224        │ 
